r11,r12,r13,r21,r22,r23,r31,r32,r33,px,py,pz,gripper_state
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0012799151047006919,0.0,0.0001279915104700692,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.001353087925423521,0.0,0.0001353087925423521,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.001428915285374365,0.0,0.0001428915285374365,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0015074384190309881,0.0,0.00015074384190309883,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0015886982459044582,0.0,0.00015886982459044582,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.001672735371241415,0.0,0.0001672735371241415,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0017595900867263328,0.0,0.0001759590086726333,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0018493023711837954,0.0,0.00018493023711837954,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.001941911891280753,0.0,0.0001941911891280753,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.002037458002228796,0.0,0.0002037458002228796,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0021359797484864205,0.0,0.00021359797484864207,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.002237515864461292,0.0,0.00022375158644612919,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0023421047752125177,0.0,0.00023421047752125178,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0024497845971529096,0.0,0.000244978459715291,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0025605931387512517,0.0,0.00025605931387512516,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.002674567901234568,0.0,0.0002674567901234568,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0027917460792903875,0.0,0.00027917460792903874,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0029121645617690155,0.0,0.00029121645617690155,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0030358599323857937,0.0,0.00030358599323857937,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0031628684704233722,0.0,0.00031628684704233725,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0032932261514339784,0.0,0.00032932261514339786,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.003426968647941675,0.0,0.0003426968647941675,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.003564131330144636,0.0,0.0003564131330144636,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.003704749266617408,0.0,0.0003704749266617408,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.003848857225013179,0.0,0.0003848857225013179,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.003996489672766047,0.0,0.0003996489672766047,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.004147680777793283,0.0,0.0004147680777793283,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.004302464409197602,0.0,0.0004302464409197602,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.004460874137969427,0.0,0.0004460874137969427,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0046229432376891574,0.0,0.0004622943237689158,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.004788704685229433,0.0,0.00047887046852294326,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.004958191161457408,0.0,0.0004958191161457408,0.0
